,Name,Price,Storage,RAM Memory,Screen size,Screen Resolution,Processor Model,Processor Number,Processor manufacturer,Operating System,Battery Run Time,Optical Drive,Touchscreen,Warranty
187,Refurbished HP Stream x360 11-aa000na Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Touchscreen Convertible Laptop in Blue - A1/Y5V08EA,179.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Touchscreen,3 Month RTB Warranty
188,Refurbished HP Stream 11-y053na Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Laptop in White - A1/Z3C72EA,149.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
189,Acer TravelMate P459 Core i5-7200U 8GB 256GB SSD 15.6 Inch Windows 10 Professional Laptop  - NX.VEWEK.004,629.97,256.0,8.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,8.0,None,Non Touch,1 year warranty
190,New Apple MacBook Pro Core i7 2.6GHz + 16GB 512GB 15 Inch Laptop With Touch Bar - Silver - MR972B/A,2399.97,512.0,16.0,15.0,2880 x 1800,Intel Core i7,,Intel,Apple OS X,,No optical drive,Non Touch,1 year warranty
191,HP Notebook 15-bs104na Core i5-8250U 8GB 1TB 15.6 Inch Windows 10 Laptop  - - 2ZH50EA,499.97,1000.0,8.0,15.6,1366 x 768,Intel Core i5,8250U,Intel,Windows 10,11.0,No optical drive,Non Touch,1 year warranty
192,Refurbished Acer Aspire ES 11 Intel Celeron N3350 2GB 32GB 11.6 Inch Windows 10 Laptop Red - A2/NX.GHKEK.012,119.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
193,Lenovo V130 Core i3-7020U 4GB 500GB DVD-RW 15.6 Inch Windows 10 Laptop - 81HN00DWUK,377.98,500.0,4.0,15.6,1920 x 1080,Intel Core i3,7020U,Intel,Windows 10,,DVD-RW,Non Touch,1 year warranty
194,Asus FX504 Core I5-8300H 8GB 256GB SSD + 1TB GTX 1060 6GB 15.6 Inch Full HD 120Hz Gaming Laptop With Bag & Mouse - FX504GM-EN151T,997.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8300H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
195,dell Lati 7490 Core i5-8250U 8GB 256GB SSD 14.0 INCH FHD Intel UHD 620 FgrPr & SmtCd Cam & Mic WLAN + BT Backlit Kb 4 Cell W10P 3Y NBD - 8KYRT,1054.97,256.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,,No optical drive,Non Touch,3 year warranty
196,Refurbished Acer Aspire ES 11 Intel Celeron N3350 2GB 32GB 11.6 Inch Windows 10 Laptop Red - A1/NX.GHKEK.012,129.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
197,Acer Aspire 5 Pro A517-51P Core i7-8550U 4GB 256GB 17.3 Inch Windows 10 Pro Laptop - NX.H0FEK.002,908.98,256.0,8.0,17.3,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,7.0,No optical drive,Non Touch,1 year warranty
198,Refurbished Asus Vivobook E203N Intel Celeron N3350 2GB 32GB 11.6 Inch Windows 10 laptop  - A1/90NB0EZ3-M00980,139.97,32.0,2.0,11.6,,Intel Celeron,N3350,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
199,Acer Aspire 5 Pro A517-51P 17.3 Inch Core i5-8250U 4GB 256GB Windows 10 Pro Laptop - NX.H0FEK.001,788.98,256.0,4.0,17.3,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,6.0,No optical drive,Non Touch,1 year warranty
200,HP Pavillion x360 Pentium 4GB 500GB 15.6 Inch Touchscreen Convertible Windows 10 Laptop - 2GF63EA,399.97,500.0,4.0,15.6,1366 x 768,Intel Pentium,4415U,Intel,Windows 10,12.0,None,Touchscreen,1 year warranty
201,Refurbished Lenovo Idea Pad Intel Celeron N3350 4GB 32GB 11.6 Inch Windows 10  Laptop - A1/81A4005PUK,139.97,32.0,4.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
202,HP 240 G6 Core i5-7200U 8GB 256GB 14 Inch  Windows 10 Laptop  - 5JK05ES,469.97,256.0,8.0,14.0,,Intel Core i5,7200u,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
203,Refurbished HP Elitebook 820 G1 Ultrabook Core i5-4300U 8GB 256GB 12.5 Inch Windows 10 Professional Laptop  - T1/HP820i58GB256GB,379.97,128.0,8.0,12.5,,Intel Core i5,4300U,Intel,Windows 10 Pro,,None,Non Touch,1 year RTB warranty
204,Lenovo Yoga 310 Intel Celeron N4000 4GB 32GB 11.6 Inch Windows 10 Touchscreen 2 in 1 Laptop - 80U2007LUK,224.98,32.0,4.0,11.6,,Intel Celeron,N4000,Intel,Windows 10,,,Touchscreen,
205,Refurbished HP Pavilion 14-ce0504sa Core i3-8130U 8GB 128GB 14 Inch Windows 10 Laptop - A1/3ZU98EA,369.97,128.0,8.0,14.0,,Intel Core i3,8130U,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
